"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"architecture","4","2.32","3.59","6.05","4.39","5.67"
"archive","12","2.43","3.58","4.81","4.18","5.24"
"arctic","4","2.23","3","4.45","3.88","5"
"ardent","13","1.28","1.64","4.95","4.62","5.32"
"area","2","2.44","3.72","5.56","2.19","5.06"
"arena","4","2.08","4.83","5.75","4.23","6.04"
"argue","4","2.33","2.75","3.15","6.67","4.77"
"argument","4","2.25","2.85","2.62","5.22","5.65"
"argumentative","8","2.19","2.36","3.2","5.61","4"
"arise","2","2.58","3.17","6.17","4.76","5.87"
"aristocracy","10","2.1","2.97","5.21","4.15","5.08"
"aristocrat","8","2.43","3.76","4.28","3.6","4.94"
"aristocratic","10","2.33","2.42","5.79","3.18","4.43"
"arithmetic","2","1.72","2.74","4.95","4","5.54"
"ark","4","2.26","4.67","6.15","3.52","5.88"
"arm","2","2.26","4.96","5.44","3.44","6.02"
"armada","10","1.26","4.04","4.6","3.29","5.6"
"armchair","2","2.44","5","5.67","2.75","5.79"
"armor","4","1.72","4.76","6.1","3.29","6.3"
"armored","4","1.91","3.59","5.67","3.52","5.7"
"armory","6","1.7","4.36","5.25","4.48","5.74"
"armpit","8","2.35","4.8","4.1","3.57","5.24"
"army","2","2.43","4.7","4.65","4.49","4.65"
"aroma","8","2.24","3.67","7.65","4.35","6.06"
"arouse","6","2.44","2.85","6.67","6.21","6.1"
"arraignment","12","1.05","2.58","3.91","4.6","5.33"
"arrange","2","2.26","2.79","5.15","3.57","6.71"
"arrangement","4","2.23","2.3","5.71","3","5.5"
"array","10","1.96","2.54","5.9","3.71","5.62"
"arrest","4","2.23","3.93","2.33","6.86","3.11"
"arrhythmia","14","1.03","2.96","3.86","4.95","4.25"
"arrival","4","2.58","3.07","6.67","3.6","6.53"
"arrive","2","2.23","3.22","6.41","5","6.84"
"arrogance","10","2.17","1.74","2.55","4.65","5"
"arrogant","10","2.26","2.07","2.52","5.15","4.64"
"arrow","2","2.34","4.97","5.24","3.91","5.53"
"arsenal","12","2.01","3.86","4.45","5.48","5.25"
